Timestamp,"['utm_x', 'utm_y', 'cur_speed', 'target_predicted_speed']"
1.6689300537109375e-06,"[330290.8428164176, 4166742.01680898, 0.009899494936611667, 0.329994388187319]"
0.09020090103149414,"[330290.8428164176, 4166742.01680898, 0.03982461550347976, 0.6261710202242744]"
0.1882016658782959,"[330290.8428164176, 4166742.01680898, 0.011, 0.8931097302827173]"
0.2873971462249756,"[330290.8428164176, 4166742.01680898, 0.00608276253029822, 1.1332969150511467]"
0.3748955726623535,"[330290.8428164176, 4166742.01680898, 0.0078102496759066544, 1.3483345967595712]"
0.4876692295074463,"[330290.8428164176, 4166742.01680898, 0.01860107523773827, 1.543393548885051]"
0.587780237197876,"[330290.84258890233, 4166742.0057128617, 0.0208806130178211, 1.7177646591582405]"
0.6887900829315186,"[330290.84258890233, 4166742.0057128617, 0.011, 1.8739072987196839]"
0.7827515602111816,"[330290.8428164176, 4166742.01680898, 0.012083045973594572, 2.015803906656773]"
0.8877170085906982,"[330290.8428164176, 4166742.01680898, 0.01140175425099138, 2.1435820821293046]"
1.0830512046813965,"[330290.8428164176, 4166742.01680898, 0.0058309518948453, 2.2585659655812074]"
1.1873087882995605,"[330290.8428164176, 4166742.01680898, 0.020591260281974003, 2.362514062965544]"
1.274764060974121,"[330290.8428164176, 4166742.01680898, 0.007071067811865475, 2.455880966505397]"
1.3858942985534668,"[330290.8428164176, 4166742.01680898, 0.004472135954999579, 2.540185171223294]"
1.4845764636993408,"[330290.84258890233, 4166742.0057128617, 0.01140175425099138, 2.6160210470209564]"
1.5888774394989014,"[330290.84258890233, 4166742.0057128617, 0.016155494421403512, 2.683943491806355]"
1.6862671375274658,"[330290.8428164176, 4166742.01680898, 0.0116619037896906, 2.7436105770705086]"
1.7814104557037354,"[330290.8428164176, 4166742.01680898, 0.037, 2.798434691482564]"
1.8922882080078125,"[330290.8428164176, 4166742.01680898, 0.0, 2.8481697350784105]"
1.9894802570343018,"[330290.8428164176, 4166742.01680898, 0.022203603311174516, 2.893156378184104]"
2.0833542346954346,"[330290.8428164176, 4166742.01680898, 0.021840329667841555, 2.933232497441925]"
2.1790099143981934,"[330290.8428164176, 4166742.01680898, 0.018384776310850236, 2.969553040101684]"
2.285313844680786,"[330290.8428164176, 4166742.01680898, 0.02213594362117866, 3.0025798526833865]"
2.385115385055542,"[330290.8428164176, 4166742.01680898, 0.030000000000000002, 3.0321859610019586]"
2.4823355674743652,"[330290.83376421913, 4166742.005893803, 0.06307138812488591, 3.058671785200111]"
2.58590030670166,"[330290.83353670407, 4166741.994797686, 0.09334345183246653, 3.0823027681231085]"
2.6822688579559326,"[330290.83330918883, 4166741.9837015686, 0.13851353724455961, 3.1037248265583273]"
2.784615993499756,"[330290.8240294729, 4166741.9616902713, 0.15689486925964152, 3.1228118830869196]"
2.889066219329834,"[330290.8147497593, 4166741.9396789763, 0.2744667557282667, 3.1395167718192267]"
2.9910593032836914,"[330290.80524253036, 4166741.906571563, 0.290125834768295, 3.1543090544809145]"
3.073925256729126,"[330290.79596281657, 4166741.884560267, 0.3131070104612798, 3.1687343424278116]"
3.1829490661621094,"[330290.777403389, 4166741.840537677, 0.4296347285776605, 3.18012009164679]"
3.282928466796875,"[330290.7583889306, 4166741.7743228506, 0.5895354103020446, 3.1905422770795515]"
3.3842432498931885,"[330290.7484266707, 4166741.7190231998, 0.5685103341189147, 3.1995512852986865]"
3.482118606567383,"[330290.72918469657, 4166741.6417122544, 0.7695674109524129, 3.2045256041599535]"
