Timestamp,"['utm_x', 'utm_y', 'cur_speed', 'target_predicted_speed']"
7.152557373046875e-07,"[330301.13255266624, 4166745.258177702, 0.01565247584249853, 0.3292404476213577]"
0.11365008354187012,"[330301.13255266624, 4166745.258177702, 0.0078102496759066544, 0.6252381509502838]"
0.20620226860046387,"[330301.13255266624, 4166745.258177702, 0.03080584360149873, 0.8899660792250967]"
0.30630016326904297,"[330301.1235004831, 4166745.247262515, 0.02302172886644268, 1.127655260168916]"
0.40796828269958496,"[330301.1235004831, 4166745.247262515, 0.0196468827043885, 1.34267992843202]"
0.5079150199890137,"[330301.13255266624, 4166745.258177702, 0.018357559750685818, 1.5363999022522559]"
0.6113674640655518,"[330301.13255266624, 4166745.258177702, 0.020615528128088305, 1.7116782601786837]"
0.7024712562561035,"[330301.13255266624, 4166745.258177702, 0.034985711369071804, 1.8691971807627172]"
0.8040168285369873,"[330301.13255266624, 4166745.258177702, 0.009219544457292889, 2.0093963768217167]"
0.9100332260131836,"[330301.14160484506, 4166745.26909289, 0.02202271554554524, 2.1365365906732783]"
1.0069141387939453,"[330301.13255266624, 4166745.258177702, 0.03423448553724738, 2.2506390418636646]"
1.116225004196167,"[330301.13255266624, 4166745.258177702, 0.02731300056749533, 2.3529588489395152]"
1.2040345668792725,"[330301.14137734345, 4166745.2579967715, 0.00824621125123532, 2.4455822182442155]"
1.3034212589263916,"[330301.13255266624, 4166745.258177702, 0.035902646142032486, 2.5282838362600906]"
1.4049677848815918,"[330301.13255266624, 4166745.258177702, 0.0280178514522438, 2.6025137382725556]"
1.5013062953948975,"[330301.14160484506, 4166745.26909289, 0.034713109915419565, 2.670702078261746]"
1.5995640754699707,"[330301.132780168, 4166745.26927382, 0.03818376618407356, 2.7316243313022825]"
1.703812837600708,"[330301.13255266624, 4166745.258177702, 0.026248809496813377, 2.786064094119139]"
1.7950453758239746,"[330301.13255266624, 4166745.258177702, 0.021095023109728987, 2.835911182642371]"
1.912194013595581,"[330301.13255266624, 4166745.258177702, 0.026000000000000002, 2.881111745744083]"
2.0031380653381348,"[330301.1237279847, 4166745.2583586317, 0.0643816744112795, 2.9192661776300746]"
2.114590644836426,"[330301.11490330537, 4166745.2585395635, 0.04632493928760188, 2.9554489372689616]"
2.2081196308135986,"[330301.1063061276, 4166745.2698166124, 0.12700393694685216, 2.9889970355342657]"
2.303631067276001,"[330301.0974814483, 4166745.269997543, 0.1465127980757995, 3.017425857198088]"
2.4017906188964844,"[330301.0798320896, 4166745.270359405, 0.1869358178627092, 3.0435430673058943]"
2.501465320587158,"[330301.0445333723, 4166745.271083128, 0.2605379051117131, 3.0675433690711458]"
2.6059110164642334,"[330301.00040997326, 4166745.2719877823, 0.360855926929294, 3.087973931348751]"
2.6971113681793213,"[330300.95651407616, 4166745.2839885554, 0.44297629733429306, 3.105278621920096]"
2.802126884460449,"[330300.9126181813, 4166745.2959893295, 0.5069092620972712, 3.1227132737835652]"
2.91557240486145,"[330300.8513004278, 4166745.3194480813, 0.6261988502065459, 3.1370860434050023]"
3.001812696456909,"[330300.77210581617, 4166745.332172579, 0.731543573548425, 3.147147884361292]"
3.1128828525543213,"[330300.70241838845, 4166745.378004502, 0.8205912502580076, 3.156769046042278]"
3.207695960998535,"[330300.6055744168, 4166745.3910908652, 1.0032512148011583, 3.1664846305259697]"
3.3019461631774902,"[330300.5091854503, 4166745.426369464, 1.0646398452058798, 3.1716849121582578]"
